codigo_produto,produto_nome,base_legal,unidade,data_atualizacao
1383,PREPARAÇÕES PARA PELE (CREMES E LOÇÕES TÔNICAS),"DECRETO ANEXO X N° 783, 25 DE MARÇO DE 1993",QUILOGRAMA LÍQUIDO,
1386,CINESCÓPIO PARA MONITOR DE VÍDEO,"Portaria Interministerial MDIC/MCT nº 135, de 2 de agosto de 2006",UNIDADE,12/07/2024 17:07
1387,"RELÓGIO DE PULSO, BOLSO E ASSEMELHADOS, SEM MAQUINISMO, PARA MOSTRUÁRIO","Decreto nº 783/93, Anexo III, alterado pela Portaria Interministerial MDIC/MCT nº 253, de 18 de outubro de 2004",UNIDADE,
1388,"BATERIA RECARREGÁVEL PARA EQUIPAMENTO PORTÁTIL, EXCETO DE INFORMÁTICA","Portaria Interministerial MDIC/MCT n° 188, de 19 de julho de 2011",UNIDADE,29/03/2019 12:03
1389,TUBETE DE PAPELÃO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 68, 7 DE AGOSTO DE 2024",QUILOGRAMA,24/10/2023 11:10
1391,CONJUNTO CILINDRO MESTRE DA EMBREAGEM PARA VEÍCULOS DE CÂMBIO AUTOMÁTICO DE QUATRO RODAS,"Portaria interministerial MDIC/MCT nº 298, de 16 de julho de 2003",UNIDADE,
1392,ESTOFADO COM ARMAÇÃO DE MADEIRA,"Portaria Interministerial ME/MCTIC nº 62, de 17 de novembro de 2020.",UNIDADE,11/09/2018 17:09
1393,ESTOFADO COM ARMAÇÃO DE FERRO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 62, 17 DE NOVEMBRO DE 2020 - I - ESTOFADOS, SOFÁS, SOFÁS-CAMA, CAMAS, CAMAS ARTICULÁVEIS E AMERICANA; CABECEIRAS PARA CAMAS e SOMIÊ/BOX/BASE:. OBS: NCM 9401.71.00",UNIDADE,
1394,CAMA ARTICULADA E AMERICANA,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 62, 17 DE NOVEMBRO DE 2020 - I - ESTOFADOS, SOFÁS, SOFÁS-CAMA, CAMAS, CAMAS ARTICULÁVEIS E AMERICANA; CABECEIRAS PARA CAMAS e SOMIÊ/BOX/BASE:.",UNIDADE,
1395,COLCHÃO DE ESPUMA E DE MOLA COMBINADOS,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 62, 17 DE NOVEMBRO DE 2020 - III - COLCHÕES DE ESPUMA E MOLAS COMBINADAS.",UNIDADE,
1396,"MINI-ANTENA PARABÓLICA PADRÃO ""OFF-SET"" PARA RECEPÇÃO DE SINAIS - SHF","Portaria Interministerial MDIC/MCTI nº 279, de 2 de setembro de 2015. OBS.: Produto destinado aos aparelhos das Posições NCM 85.25 a 85.28, constantes do anexo II do Decreto nº 10.356/20",UNIDADE,
1397,APARELHO TRANSMISSOR/RECEPTOR PARA COMUNICAÇÃO DIGITAL POR SATÉLITE DE VOZ E DADOS,"Portaria Interministerial MDIC/MCTIC nº 50, de 29 de outubro de 2018 e Portaria Interministerial SEPEC/ME/SEXEC/MCTI n° 38, 17 de julho de 2020",UNIDADE,17/07/2025 17:07
1398,CIRCUITO IMPRESSO CONVENCIONAL DE RESINA FENÓLICA/EPOXI (COMPOSIT OU SIMILAR),"Portaria interministerial MDIC/MCT nº 20, de 12 de abril de 2000",METRO QUADRADO,15/03/2007 18:03
1400,"MOTOR DE PARTIDA PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,25/07/2024 11:07
1401,CONTROLADOR DIGITAL DE TEMPERATURA,"Portaria Interministerial ME/MCTI nº 7.442, de 28 de junho de 2021",UNIDADE,13/03/2025 17:03
1402,INDICADOR DIGITAL DE TEMPERATURA,"Portaria Interministerial ME/MCTI nº 7.442, de 28 de junho de 2021",UNIDADE,16/08/2024 17:08
1403,INDICADOR DIGITAL DE GRANDEZAS ELÉTRICAS,"Portaria Interministerial ME/MCTI nº 7.442, de 28 de junho de 2021",UNIDADE,16/08/2024 17:08
