codigo_produto,produto_nome,base_legal,unidade,data_atualizacao,codigo_tipo,descricao_tipo,ncm,ncm_descricao
2003,RÓTULO DE PLÁSTICO,"Portaria Interministerial MDIC/MCTI nº 42, de 14 de fevereiro de 2013 e Portaria Interministerial MDIC/MCTIC n° 40, 3 de agosto de 2018",QUILOGRAMA LÍQUIDO,,010,não impresso,"39201010, 39201091, 39201099","CHAPAS DE POLIMERO ETILENO,D>=0,94,E<=19M.ROLOS L<=66CM | De densidade inferior a 0,94, com óleo de parafina e carga (sílica e negro-de-carbono) | Outras de polímeros de etileno - chapas, folhas, películas, tiras e lâminas, de"
2003,RÓTULO DE PLÁSTICO,"Portaria Interministerial MDIC/MCTI nº 42, de 14 de fevereiro de 2013 e Portaria Interministerial MDIC/MCTIC n° 40, 3 de agosto de 2018",QUILOGRAMA LÍQUIDO,,015,impresso auto-adesivo,39199000,"OUTS.CHAPAS,FOLHAS,TIRAS,ETC.AUTO-ADESIVAS,DE PLASTICOS"
2003,RÓTULO DE PLÁSTICO,"Portaria Interministerial MDIC/MCTI nº 42, de 14 de fevereiro de 2013 e Portaria Interministerial MDIC/MCTIC n° 40, 3 de agosto de 2018",QUILOGRAMA LÍQUIDO,,020,não impresso auto adesivo,39199000,"OUTS.CHAPAS,FOLHAS,TIRAS,ETC.AUTO-ADESIVAS,DE PLASTICOS"
0563,SABONETE,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 106, 5 DE MAIO DE 2011 - IV - SABÕES E SABONETES:.",QUILOGRAMA LÍQUIDO,,010,líquido,"33073000, 34011900, 34012010","SAIS PERFUMADOS E OUTS.PREPARACOES PARA BANHOS | OUTS.SABOES/PRODUTOS/PREPARACOES,EM BARRAS,PEDACOS,ETC. | SABOES DE TOUCADOR,SOB OUTS.FORMAS"
0563,SABONETE,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 106, 5 DE MAIO DE 2011 - IV - SABÕES E SABONETES:.",QUILOGRAMA LÍQUIDO,,015,cremoso,"33073000, 34011900, 34012010","SAIS PERFUMADOS E OUTS.PREPARACOES PARA BANHOS | OUTS.SABOES/PRODUTOS/PREPARACOES,EM BARRAS,PEDACOS,ETC. | SABOES DE TOUCADOR,SOB OUTS.FORMAS"
0563,SABONETE,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 106, 5 DE MAIO DE 2011 - IV - SABÕES E SABONETES:.",QUILOGRAMA LÍQUIDO,,020,sólido,33073000,SAIS PERFUMADOS E OUTS.PREPARACOES PARA BANHOS
1993,SABÃO (EXCETO EM PÓ),"Portaria Interministerial MDIC/MCT nº 106, de 5 de maio de 2011",QUILOGRAMA LÍQUIDO,,005,sólido,"34011110, 34011190, 34011900","SABOES MEDICINAIS,EM BARRAS,PEDACOS,FIGURA MOLDADA,ETC. | OUTS.PRODS/PREPARS.DE TOUCADOR,EM BARRAS,PEDACOS,ETC. | OUTS.SABOES/PRODUTOS/PREPARACOES,EM BARRAS,PEDACOS,ETC."
1993,SABÃO (EXCETO EM PÓ),"Portaria Interministerial MDIC/MCT nº 106, de 5 de maio de 2011",QUILOGRAMA LÍQUIDO,,010,líquido,"34011110, 34011190","SABOES MEDICINAIS,EM BARRAS,PEDACOS,FIGURA MOLDADA,ETC. | OUTS.PRODS/PREPARS.DE TOUCADOR,EM BARRAS,PEDACOS,ETC."
1993,SABÃO (EXCETO EM PÓ),"Portaria Interministerial MDIC/MCT nº 106, de 5 de maio de 2011",QUILOGRAMA LÍQUIDO,,015,cremoso ou pastoso,"34011110, 34011190","SABOES MEDICINAIS,EM BARRAS,PEDACOS,FIGURA MOLDADA,ETC. | OUTS.PRODS/PREPARS.DE TOUCADOR,EM BARRAS,PEDACOS,ETC."
1028,SABÃO EM PÓ,"Portaria Interministerial MDIC/MCT nº 155, de 4 de setembro de 2006",QUILOGRAMA LÍQUIDO,,005,standard,34012090,OUTROS SABOES
1278,SACO DE FIBRA DE JUTA,"Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 8.805, de 5 de outubro de 2022 e Portaria Interministerial SEPEC/ME/MCTI nº 11.316, de 30 de dezembro de 2022",UNIDADE,11/09/2014 11:09,005,standard,63051000,"SACOS P/EMBALAGEM,DE JUTA OU OUT.FIBRA TEXTIL LIBERIANA"
1643,SALAME (DOCE) DE CUPUAÇU COM CASTANHA DA AMAZÔNIA,"Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 8.805, de 5 de outubro de 2022 e Portaria Interministerial SEPEC/ME/MCTI nº 11.316, de 30 de dezembro de 2022",QUILOGRAMA LÍQUIDO,,005,standard,20071000,"PREPARS.HOMOGEN.DE FRUTAS,POR COZIMENTO,P/ALIM.CRIANCAS"
1832,SANDUICHEIRA ELÉTRICA,"Portaria Interministerial MDIC/MCT nº 78, de 24 de março de 2009",UNIDADE,,005,standard,85167990,"OUTROS APARS.ELETROTERMICOS,USO DOMESTICO"
1713,SANEANTES,"Portaria Interministerial MDIC/MCT nº 155, de 4 de setembro de 2006",LITRO,24/11/2025 11:11,010,Soda cáustica líquida,"28151100, 28151200",HIDROXIDO DE SODIO (SODA CAUSTICA) SOLIDO | HIDROXIDO DE SODIO EM SOL.AQUOSA (LIXIVIA SODA CAUSTICA
1713,SANEANTES,"Portaria Interministerial MDIC/MCT nº 155, de 4 de setembro de 2006",LITRO,24/11/2025 11:11,014,Desengordurante domissanitário,"34029011, 34029019",MISTURAS DE AGENTE ORGAN.DE SUPERF.CONT.PRODS.N/IONICOS | OUTROS MISTURAS DE AGENTES ORGANICOS DE SUPERFICIE
1713,SANEANTES,"Portaria Interministerial MDIC/MCT nº 155, de 4 de setembro de 2006",LITRO,24/11/2025 11:11,016,Saponáceo domissanitário,34029029,OUTRAS
